"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,2600,2678,2675.5,2400,2395,2450,2495,2550,2550,2500,2497.5,2395,2425,2595,2645,2500,2500,2500,2550,2595,2595,2625,2699,2700,2800,2850,2750,2722.5,2695,2695,2730,2800,2807.5,2700,2700,2888.5,2800,2800,2850,2900,2900,2900,2850,2800,2750,3200,3091.5,3100,3088,3100,3100,3100,3095,3100,3150,3025,2995,3000,3050,3100,3050,3050,3012.5,3050,3096,3100,3012.5,3100,3050,2997.5,3012.5,3100,3050,3012.5,2950,3025,3000,3000,2997,2975,2900,2900,3025,3032.5,3000,2930,3025,3025,3032.5,3000,2975,2995,3000,2947.5,2900,2902.5,2950,3000,3117.5,3150,3195,3200,3200
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,1075,1095,1095,1080,1110,1125,1125,1095,1095,1100,1105,1125,1125,1100,1100,1125,1125,1145,1125,1095,1105,1147.5,1150,1175,1195,1205,1199,1200,1220,1230,1250,1275,1250,1245,1245,1247.5,1245,1250,1250,1250,1270,1265,1275,1275,1250,1250,1250,1250,1255,1295,1295,1300,1305,1325,1310,1295,1295,1295,1300,1325,1325,1345,1395,1395,1395,1400,1395,1375,1345,1350,1295,1295,1350,1445,1450,1450,1450,1475,1450,1420,1400,1375,1360,1385,1397,1440,1425,1445,1450,1450,1450,1400,1370,1355,1350,1395,1450,1425,1475,1475
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,2995,3025,3000,2770,2835,2900,3000,3000,2867.5,2900,2900,2970,3000,3100,3150,3100,3070,3000,3000,3100,3000,3000,3000,3100,3125,3100,3041,3000,3000,3150,3047,3042,3100,3109,3150,3200,3200,3100,3195,3200,3200,3200,3199,3200,3175,3295,3350,3300,3300,3350,3300,3300,3300,3350,3369,3300,3300,3337.5,3350,3350,3300,3300,3300,3300,3300,3300,3300,3300,3300,3100,3300,3300,3300,3300,3300,3221.5,3295,3254,3300,3300,3300,3300,3295,3280.5,3295,3300,3300,3275,3250,3217,3262.5,3300,3300,3300,3300,3300,3300,3295,3300,3300,3300,3300,3350
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042,1058,1010,1010,1010,1055,1078,1022,1078,1088,1080,1055,1052,1050,1034,1000,1000,980,1032.5,1004.5,1019.5,1005,985,1021,1020,1020,1020,1063.5,1000,1000,985,1029,1039,1205,1057,1095,1104,1127,1225,1175,1082,1045,1081,1058,1119,1134.5,1097,1119,1175,1165,1124,1190,1202.5,1179,1175,1179,1175,1190,1205,1200,1178,1209,1209,1177,1245,1213,1144,1159,1159,1155,1152.5
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,,,,,1250,1200,1199,1175,1195,1245,1265,1260,1295,1300,1300,1375,1375,1365,1365,1350,1315,1400,1432.5,1485,1495,1495,1535,1550,1500,1490,1450,1450,1500,1500,1450,1445,1475,1450,1450,1550,1525,1495,1450,1425,1425,1425,1395,1395,1460,1500,1645,1500,1525,1475,1395,1475,1475,1450,1425,1427.5,1445,1425,1565,1570,1525,1660,1550,1525,1457.5,1465,1455,1525,1500,1445,1500,1500,1575,1550,1545,1495,1500,1505,1545,1551,1595,1595,1500,1545,1575,1613,1595,1600,1600,1595,1577,1595,1550,1550,1519.5,1600,1650,1650,1695,1675
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,935,935,935,947,893,929,885,936,975,976.5,989
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,957.5,960.5,967.5,970,996,974,976,976,970,965,891,948.5,910,911.5,889,931,891.5,992.5,967.5,965,919,919,965,910,972.5,972,974,1055,1055,1025,1015,1000.5,970,969,956,997.5,986
"10002","New York","NY","New York-Newark-Jersey City","New York County",8,,,,,,1925,2100,2200,2100,2100,2100,2171.5,2200,2250,2200,2219.5,2295,2275,2300,2295,2350,2350,2295,2275,2350,2300,2300,2300,2350,2350,2350,2395,2395,2400,2449.5,2400,2395,2400,2400,2400,2400,2400,2450,2495,2499,2500,2595,2575,2550,2541,2500,2600,2550,2595,2595,2500,2537.5,2650,2650,2650,2695,2612.5,2650,2650,2695,2650,2650,2650,2550,2595,2595,2600,2650,2550,2575,2500,2510,2650,2597.5,2600,2650,2600,2600,2595,2575,2500,2500,2500,2500,2500,2537.5,2599,2550,2625,2650,2690,2692.5,2625,2600,2695,2619,2695,2749,2682.5
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",9,,,,,,,,,,1100,1100,1062.5,1000,1000,1000,1000,1000,1000,1000,1000,1050,1050,1100,1100,1100,1050,1020,1050,1050,1100,1100,1137.5,1100,1100,1100,1150,1150,1150,1150,1150,1150,1100,1150,1150,1175,1200,1200,1200,1200,1200,1200,1200,1200,1225,1250,1250,1250,1250,1300,1300,1300,1300,1350,1350,1350,1350,1350,1350,1350,1340,1350,1350,1395,1350,1350,1350,1400,1400,1400,1400,1400,1400,1400,1450,1437.5,1450,1400,1400,1450,1482.5,1500,1450,1420.5,1450,1450,1495,1500,1500,1450,1500,1500,1475,1475,1500
"11226","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,1250,1250,1250,1250,1250,1275,1275,1275,1250,1250,1250,1237.5,1275,1295,1295,1300,1300,1300,1325,1300,1325,1325,1350,1350,1375,1375,1400,1450,1400,1400,1450,1450,1450,1450,1450,1495,1500,1500,1500,1500,1500,1500,1500,1500,1500,1525,1575,1650,1600,1600,1600,1625,1650,1650,1600,1600,1600,1637,1600,1600,1650,1750,1699,1795.5,1846,1750,1640,1650,1625,1675,1700,1700,1700,1700,1650,1650,1699,1699,1650,1725,1750,1750,1776,1750,1750,1775,1775,1750,1750,1750,1750,1775,1800,1799.5,1799
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",11,,,,,875,855,885,895,895,895,882.5,895,875,877,885,895,915,945,950,950,965,950,950,995,1020,1022.5,1030,1050,1035,1025,1025,1050,1050,1065,1095,1100,1095,1050,1050,1050,1080,1050,1050,1050,1100,1100,1100,1100,1095,1085,1095,1095,1137.5,1150,1075,1150,1125,1117.5,1150,1160,1165,1150,1150,1137.5,1175,1192.5,1175,1175,1175,1195,1195,1175,1200,1160,1130,1150,1160,1225,1225,1250,1225,1225,1200,1200,1195,1200,1195,1245,1245,1250,1260,1275,1267.5,1260,1300,1275,1264,1250,1250,1295,1300,1325,1350,1339
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",12,,,,,,,,,,,,,2472.5,2397.5,2380,2045,2150,2247.5,2195,2285,2495,2485,2300,2350,2300,2395,2495,2455,2495,2600,2644,2559,2587.5,2800,2825,2775,2795,2800,3200,3150,3150,2897.5,2800,2885,3195,3095,2995,3097.5,3125,3200,3200,3277.5,3195,3197.5,3425,3400,3450,3450,3400,3425,3300,3282,3195,3250,3200,3395,3350,3195,3200,3200,3000,2895,2995,2895,3000,2980,3112.5,3100,3000,2950,2900,2995,2995,3000,3197.5,3095,2995,2995,2995,3097,3150,3295,3199,3095,3150,3295,3221.5,3150,3200,3254.5,3295,3220,3195,3150
"10016","New York","NY","New York-Newark-Jersey City","New York County",13,3097.5,3000,3200,2997.5,2750,2600,2750,2745,2800,2800,2850,2895,2900,2895,2900,2850,2863,2900,2895,2950,2995,3000,3050,3050,3095,3095,3100,3050,3000,3000,3050,3043,3042,3030,3100,3100,3148,3100,3100,3100,3100,3100,3100,3100,3149,3150,3495,3483,3400,3395,3395,3400,3395,3415,3434,3450,3405,3442.5,3450,3450,3447.5,3400,3395,3350,3324,3395,3420,3400,3400,3405,3351.5,3377.5,3380,3396.5,3323,3350,3300,3350,3400,3400,3400,3395,3400,3435,3420,3400,3318,3314,3345,3398,3425.5,3416,3498,3500,3495,3500,3450,3495,3480,3480,3480,3478,3500,3521.5
"78660","Pflugerville","TX","Austin-Round Rock","Travis County",14,,,,,,,,,,,,,,,,,,,,,,,,,829,823,823,823,800,799.5,825,805,820,825,855,865,860,865,860,839,850,845,855,877,835,838,850,858,838,850,863,862,855,910,923,920,935,935,932.5,920,949,975,985,977.5,975,975,949,972,960,985,928,949,980,931,925,925,925,973,1028.5,1033,1040.5,1030,1020,1038,1020,1022.5,1025,1075,1010,1035,1097,1089,1057.5,1060,1030,1055,1077,1090.5,1085,1084,1046,1047.5,1055,1056
